1	3	4	1500
1	3	2	1700
1	3	3	1245
1	5	1	2440
1	4	4	2962
1	3	2	1953
1	3	3	1750
1	3	2	1770
1	4	2	1768
1	2	1	1100
1	3	2	1100
1	3	2	1300
1	3	2	1625
1	3	2	1500
1	4	4	3800
1	4	4	4314
1	2	1	1100
1	3	2	1500
1	3	1	1406
1	3	1	1089
1	3	2	1500
1	3	2	1500
1	4	3	2480
1	3	2	1500
1	3	3	1685
1	3	2	1798
1	3	2	2576
1	2	2.5	2050
1	3	2	1349
1	2	1	1124
1	3	2	1258
1	3	1	1255
1	4	3	2280
1	3	2	1300
1	3	2	1580
1	5	4	3500
1	3	2	1438
1	3	2.5	2110
1	5	7.5	5823
1	3	2	1702
1	4	2	1404
1	2	1	980
1	3	2	1450
1	3	2	1530
1	3	2	1143
1	3	3	3193
1	3	2	2130
1	3	2	2400
1	5	3	2367
1	4	3	2860
